date,product
2018-05-02,prod010
2018-05-02,prod005
2018-05-03,prod010
2018-05-04,prod003
2018-05-01,prod010
2018-05-05,prod006
2018-05-04,prod008
2018-05-01,prod010
2018-05-01,prod009
2018-05-01,prod002
2018-05-05,prod008
2018-05-04,prod006
2018-05-02,prod008
2018-05-05,prod007
2018-05-03,prod003
2018-05-05,prod010
2018-05-02,prod008
2018-05-04,prod010
2018-05-05,prod002
2018-05-02,prod010
2018-05-03,prod006
2018-05-03,prod007
2018-05-03,prod002
2018-05-01,prod009
2018-05-02,prod006
2018-05-05,prod005
2018-05-04,prod007
2018-05-03,prod003
2018-05-02,prod008
2018-05-04,prod001
2018-05-03,prod010
2018-05-02,prod005
2018-05-04,prod002
2018-05-05,prod005
2018-05-04,prod010
2018-05-02,prod009
2018-05-03,prod001
2018-05-05,prod001
2018-05-03,prod006
2018-05-02,prod007
2018-05-01,prod008
2018-05-01,prod010
2018-05-01,prod008
2018-05-04,prod010
2018-05-01,prod009
2018-05-02,prod003
2018-05-02,prod009
2018-05-03,prod007
2018-05-01,prod006
2018-05-01,prod007
2018-05-03,prod004
2018-05-05,prod003
2018-05-01,prod005
2018-05-01,prod005
2018-05-05,prod006
2018-05-04,prod005
2018-05-02,prod008
2018-05-05,prod009
2018-05-05,prod003
2018-05-05,prod003
2018-05-01,prod008
2018-05-05,prod008
2018-05-02,prod009
2018-05-04,prod007
2018-05-02,prod006
2018-05-03,prod003
2018-05-04,prod005
2018-05-01,prod009
2018-05-05,prod006
2018-05-02,prod003
2018-05-03,prod009
2018-05-01,prod003
2018-05-01,prod002
2018-05-04,prod007
2018-05-01,prod002
2018-05-01,prod008
2018-05-02,prod007
2018-05-03,prod008
2018-05-05,prod001
2018-05-01,prod008
2018-05-04,prod008
2018-05-03,prod009
2018-05-05,prod002
2018-05-05,prod008
2018-05-01,prod002
2018-05-03,prod010
2018-05-05,prod007
2018-05-05,prod004
2018-05-03,prod004
2018-05-02,prod006
2018-05-04,prod004
2018-05-02,prod002
2018-05-02,prod009
2018-05-05,prod010
2018-05-01,prod005
2018-05-03,prod010
2018-05-04,prod008
2018-05-03,prod005
2018-05-01,prod005
2018-05-03,prod006
2018-05-02,prod010
2018-05-01,prod004
2018-05-04,prod007
2018-05-02,prod003
2018-05-04,prod006
2018-05-01,prod009
2018-05-03,prod006
2018-05-05,prod008
2018-05-01,prod006
2018-05-03,prod009
2018-05-03,prod001
2018-05-01,prod005
2018-05-03,prod007
2018-05-01,prod003
2018-05-02,prod004
2018-05-02,prod001
2018-05-02,prod004
2018-05-05,prod004
2018-05-01,prod010
2018-05-05,prod003
2018-05-02,prod001
2018-05-04,prod007
2018-05-05,prod005
2018-05-03,prod007
2018-05-02,prod005
2018-05-05,prod005
2018-05-01,prod005
2018-05-03,prod003
2018-05-02,prod005
2018-05-04,prod003
2018-05-01,prod002
2018-05-05,prod010
2018-05-04,prod004
2018-05-03,prod003
2018-05-02,prod004
2018-05-05,prod002
2018-05-02,prod003
2018-05-05,prod001
2018-05-05,prod006
2018-05-04,prod007
2018-05-02,prod010
2018-05-01,prod004
2018-05-03,prod002
2018-05-03,prod007
2018-05-03,prod005
2018-05-04,prod003
2018-05-04,prod006
2018-05-03,prod010
2018-05-05,prod001
2018-05-02,prod002
2018-05-01,prod001
2018-05-05,prod002
2018-05-01,prod010
2018-05-04,prod007
2018-05-01,prod001
2018-05-01,prod005
2018-05-02,prod003
2018-05-05,prod010
2018-05-03,prod007
2018-05-05,prod007
2018-05-04,prod009
2018-05-03,prod008
2018-05-03,prod008
2018-05-01,prod006
2018-05-02,prod004
2018-05-01,prod006
2018-05-02,prod006
2018-05-02,prod008
2018-05-02,prod005
2018-05-03,prod001
2018-05-04,prod009
2018-05-02,prod005
2018-05-01,prod010
2018-05-01,prod002
2018-05-02,prod006
2018-05-04,prod005
2018-05-03,prod001
2018-05-02,prod010
2018-05-04,prod001
2018-05-03,prod005
2018-05-05,prod001
2018-05-02,prod007
2018-05-04,prod009
2018-05-04,prod009
2018-05-02,prod007
2018-05-03,prod005
2018-05-02,prod004
2018-05-01,prod010
2018-05-03,prod009
2018-05-02,prod002
2018-05-05,prod010
2018-05-02,prod009
2018-05-04,prod001
2018-05-03,prod009
2018-05-01,prod010
2018-05-01,prod005
2018-05-01,prod006
2018-05-03,prod003
2018-05-02,prod002
2018-05-04,prod009
2018-05-04,prod010
2018-05-02,prod001
2018-05-04,prod006
2018-05-04,prod002
2018-05-05,prod009
2018-05-05,prod004
2018-05-04,prod001
2018-05-03,prod006
2018-05-04,prod008
2018-05-02,prod001
2018-05-01,prod010
2018-05-04,prod002
2018-05-03,prod001
2018-05-05,prod008
2018-05-02,prod002
2018-05-05,prod009
2018-05-05,prod004
2018-05-02,prod007
2018-05-04,prod001
2018-05-05,prod001
2018-05-04,prod006
2018-05-03,prod008
2018-05-03,prod005
2018-05-05,prod007
2018-05-02,prod007
2018-05-05,prod003
2018-05-04,prod008
2018-05-02,prod005
2018-05-04,prod009
2018-05-01,prod004
2018-05-02,prod010
2018-05-01,prod001
2018-05-04,prod004
2018-05-02,prod009
2018-05-03,prod006
2018-05-03,prod008
2018-05-03,prod004
2018-05-02,prod010
2018-05-04,prod001
2018-05-03,prod005
2018-05-01,prod008
2018-05-03,prod009
2018-05-05,prod007
2018-05-02,prod010
2018-05-04,prod002
2018-05-04,prod006
2018-05-03,prod001
2018-05-02,prod008
2018-05-01,prod006
2018-05-05,prod005
2018-05-02,prod007
2018-05-05,prod004
2018-05-05,prod002
2018-05-05,prod002
2018-05-04,prod006
2018-05-04,prod003
2018-05-01,prod004
2018-05-04,prod007
2018-05-01,prod005
2018-05-04,prod007
2018-05-04,prod008
2018-05-01,prod003
2018-05-05,prod004
2018-05-05,prod010
2018-05-02,prod001
2018-05-04,prod005
2018-05-02,prod010
2018-05-04,prod002
2018-05-03,prod010
2018-05-05,prod008
2018-05-01,prod007
2018-05-04,prod008
2018-05-01,prod008
2018-05-04,prod003
2018-05-04,prod003
2018-05-05,prod008
2018-05-02,prod003
2018-05-04,prod005
2018-05-04,prod008
2018-05-05,prod007
2018-05-01,prod009
2018-05-05,prod008
2018-05-03,prod008
2018-05-01,prod003
2018-05-03,prod010
2018-05-04,prod006
2018-05-02,prod009
